Reactor Name,Reactor Status,Country,Reactor Type,Model,Owner,Operator,Reference Unit Power (Net Capacity) [MWe],Design Net Capacity [MWe],Gross Capacity [MWe],Thermal Capacity [MWt],Construction Start Date,First Criticality Date,Construction Suspended Date,Construction Restart Date,First Grid Connection,Commercial Operation Date,Suspended Operation Date,End of Suspended Operation Date,Permanent Shutdown Date,Thermal Efficiency [%],Energy Efficiency [%],Years Connected,Total Power Supplied [TW.h],Hours On Line
ATUCHA-1,Operational,Argentina,PHWR,PHWR KWU,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,340,319,362,1179,1968-05-31,1974-01-13,,,1974-03-19,1974-06-24,,,,28.84,27.06,50,105.85,339457.0
ATUCHA-2,Operational,Argentina,PHWR,PHWR KWU,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,693,692,745,2160,1981-07-13,2014-06-03,,,2014-06-27,2016-05-26,,,,32.08,32.04,10,28.24,56352.0
CAREM25,Under Construction,Argentina,PWR,CAREM Prototype (Integrated-PWR),COMISION NACIONAL DE ENERGIA ATOMICA,COMISION NACIONAL DE ENERGIA ATOMICA,25,25,29,100,2015-08-25,N/A,,,N/A,N/A,,,,25.0,25.0,0,0.0,0.0
EMBALSE,Operational,Argentina,PHWR,CANDU 6,NUCLEOELECTRICA ARGENTINA S.A.,NUCLEOELECTRICA ARGENTINA S.A.,608,608,656,2064,1974-03-31,1983-03-13,,,1983-04-25,1984-01-20,,,,29.46,29.46,41,156.0,274428.0
ARMENIAN-1,Permanent Shutdown,Armenia,PWR,VVER V-270,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,376,376,408,1375,1969-07-01,1976-12-15,,,1976-12-22,1977-10-06,,,1989-02-25,27.35,27.35,14,4.76,12845.0
ARMENIAN-2,Operational,Armenia,PWR,VVER V-270,Ministry of Territorial Administration and Infrastructure,Closed Joint Stock Company Armenian NPP,416,375,448,1375,1975-07-01,1980-01-01,,,1980-01-05,1980-05-03,1989-03-18,1995-11-05,,30.25,27.27,44,66.0,208432.0
ROOPPUR-1,Under Construction,Bangladesh,PWR,VVER V-523,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh Limited,1080,1080,1200,3200,2017-11-30,N/A,,,N/A,N/A,,,,33.75,33.75,0,0.0,0.0
ROOPPUR-2,Under Construction,Bangladesh,PWR,VVER V-523,Bangladesh Atomic Energy Commission,Nuclear Power Plant Company Bangladesh Limited,1080,1080,1200,3200,2018-07-14,N/A,,,N/A,N/A,,,,33.75,33.75,0,0.0,0.0
BELARUSIAN-1,Operational,Belarus,PWR,VVER V-491,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",1110,1110,1194,3200,2013-11-08,2020-10-11,,,2020-11-03,2021-06-10,,,,34.69,34.69,4,17.85,16826.0
BELARUSIAN-2,Operational,Belarus,PWR,VVER V-491,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""","Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",1110,1110,1194,3200,2014-04-27,2023-03-25,,,2023-05-13,2023-11-01,,,,34.69,34.69,1,3.32,3674.0
BR-3,Permanent Shutdown,Belgium,PWR,Prototype,CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE,CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE,10,11,12,41,1957-11-01,1962-08-29,,,1962-10-10,1962-10-10,,,1987-06-30,24.39,26.83,26,0.45,56405.0
DOEL-1,Permanent Shutdown,Belgium,PWR,WH 2LP,"INDIVISION DOEL (EBES , INTERCOM , UNERG)",ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,445,392,454,1311,1969-07-01,1974-07-18,,,1974-08-28,1975-02-15,,,2025-02-14,33.94,29.9,50,143.88,360967.0
DOEL-2,Operational,Belgium,PWR,WH 2LP,"INDIVISION DOEL (EBES , INTERCOM , UNERG)",ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,445,445,454,1311,1971-09-01,1975-08-04,,,1975-08-21,1975-12-01,,,,33.94,33.94,49,142.25,350018.0
DOEL-3,Permanent Shutdown,Belgium,PWR,WH 3LP,SOCIETES REUNIES D'ENERGIE DU BASSIN DE L'ESCAUT SA,ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,1006,890,1056,3054,1975-01-01,1982-06-14,,,1982-06-23,1982-10-01,,,2022-09-23,32.94,29.14,41,270.91,286293.0
DOEL-4,Operational,Belgium,PWR,WH 3LP,SOCIETES REUNIES D'ENERGIE DU BASSIN DE L'ESCAUT SA,ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS,1026,1000,1090,2988,1978-12-01,1985-03-31,,,1985-04-08,1985-07-01,,,,34.34,33.47,39,286.54,291253.0
TIHANGE-1,Operational,Belgium,PWR,Framatome 3 loops reactor,ENGIE ELECTRABEL,ENGIE ELECTRABEL,962,870,1009,2873,1970-06-01,1975-02-21,,,1975-03-07,1975-10-01,,,,33.48,30.28,49,314.01,357072.0
TIHANGE-2,Permanent Shutdown,Belgium,PWR,WH 3LP,ENGIE ELECTRABEL,ENGIE ELECTRABEL,1008,900,1055,3064,1976-04-01,1982-10-05,,,1982-10-13,1983-06-01,,,2023-02-01,32.9,29.37,42,270.83,287006.0
TIHANGE-3,Operational,Belgium,PWR,WH 3LP,ENGIE ELECTRABEL,ENGIE ELECTRABEL,1030,1020,1089,3000,1978-11-01,1985-06-05,,,1985-06-15,1985-09-01,,,,34.33,34.0,39,293.53,292881.0
ANGRA-1,Operational,Brazil,PWR,WH 2LP,ELETRONUCLEAR S.A.,ELETRONUCLEAR S.A.,609,626,640,1882,1971-05-01,1982-03-13,,,1982-04-01,1985-01-01,,,,32.36,33.26,42,123.72,248775.0
ANGRA-2,Operational,Brazil,PWR,PRE KONVOI,ELETRONUCLEAR S.A.,ELETRONUCLEAR S.A.,1275,1245,1350,3764,1976-01-01,2000-07-14,,,2000-07-21,2001-02-01,,,,33.87,33.08,24,219.16,180861.0
ANGRA-3,Under Construction,Brazil,PWR,PRE KONVOI,ELETRONUCLEAR S.A.,ELETRONUCLEAR S.A.,1340,1340,1405,3900,2010-05-30,N/A,,,N/A,N/A,,,,34.36,34.36,0,0.0,0.0
KOZLODUY-1,Permanent Shutdown,Bulgaria,PWR,VVER V-230,State Enterprise “Radio Active Waste”,"Kozloduy Npp ,lc",408,408,440,1375,1970-04-01,1974-06-30,,,1974-07-24,1974-10-28,,,2002-12-31,29.67,29.67,29,61.07,182450.0
KOZLODUY-2,Permanent Shutdown,Bulgaria,PWR,VVER V-230,State Enterprise “Radio Active Waste”,"Kozloduy Npp ,lc",408,408,440,1375,1970-04-01,1975-08-22,,,1975-08-24,1975-11-10,,,2002-12-31,29.67,29.67,28,62.82,189136.0
KOZLODUY-3,Permanent Shutdown,Bulgaria,PWR,VVER V-230,State Enterprise “Radio Active Waste”,"Kozloduy Npp ,lc",408,408,440,1375,1973-10-01,1980-12-04,,,1980-12-17,1981-01-20,,,2006-12-31,29.67,29.67,27,62.82,185610.0
KOZLODUY-4,Permanent Shutdown,Bulgaria,PWR,VVER V-230,State Enterprise “Radio Active Waste”,"Kozloduy Npp ,lc",408,408,440,1375,1973-10-01,1982-04-25,,,1982-05-17,1982-06-20,,,2006-12-31,29.67,29.67,25,61.0,178475.0
KOZLODUY-5,Operational,Bulgaria,PWR,VVER V-320,Bulgarian Energy Holding,"Kozloduy Npp ,lc",1003,953,1040,3120,1980-07-09,1987-11-05,,,1987-11-29,1988-12-23,,,,32.15,30.54,37,207.43,242433.0
KOZLODUY-6,Operational,Bulgaria,PWR,VVER V-320,Bulgarian Energy Holding,"Kozloduy Npp ,lc",1003,953,1040,3120,1982-04-01,1991-05-29,,,1991-08-02,1993-12-30,,,,32.15,30.54,33,197.19,224651.0
BRUCE-1,Operational,Canada,PHWR,CANDU 791,Ontario Power Generation,Bruce Power,811,732,868,2620,1971-06-01,1976-12-17,,,1977-01-14,1977-09-01,1997-10-16,2012-09-19,,30.95,27.94,46,159.7,224595.0
BRUCE-2,Operational,Canada,PHWR,CANDU 791,Ontario Power Generation,Bruce Power,777,732,836,2620,1970-12-01,1976-07-27,,,1976-09-04,1977-09-01,1995-10-08,2012-10-16,,29.66,27.94,47,143.11,199123.0
BRUCE-3,Operational,Canada,PHWR,CANDU 750A,Ontario Power Generation,Bruce Power,770,750,865,2550,1972-07-01,1977-11-28,,,1977-12-12,1978-02-01,1998-04-01,2004-01-08,,30.2,29.41,47,199.35,274857.0
BRUCE-4,Operational,Canada,PHWR,CANDU 750A,Ontario Power Generation,Bruce Power,807,750,868,2550,1972-09-01,1978-12-10,,,1978-12-21,1979-01-18,1998-03-16,2003-10-07,,31.65,29.41,46,200.68,274523.0
BRUCE-5,Operational,Canada,PHWR,CANDU 750B,Ontario Power Generation,Bruce Power,817,822,872,2832,1978-05-31,1984-11-14,,,1984-12-01,1985-02-28,,,,28.85,29.03,40,238.63,301274.0
BRUCE-6,Operational,Canada,PHWR,CANDU 750B,Ontario Power Generation,Bruce Power,817,822,891,2690,1978-01-01,1984-05-29,,,1984-06-26,1984-09-14,,,,30.37,30.56,40,214.1,270834.0
BRUCE-7,Operational,Canada,PHWR,CANDU 750B,Ontario Power Generation,Bruce Power,817,822,872,2832,1979-05-01,1986-01-07,,,1986-02-22,1986-04-10,,,,28.85,29.03,38,232.97,295038.0
BRUCE-8,Operational,Canada,PHWR,CANDU 750B,Ontario Power Generation,Bruce Power,817,795,872,2690,1979-07-30,1987-02-13,,,1987-03-07,1987-05-20,,,,30.37,29.55,37,218.38,279517.0
DARLINGTON-1,Operational,Canada,PHWR,CANDU 850,Ontario Power Generation,Ontario Power Generation,878,881,934,2776,1982-04-01,1990-10-29,,,1990-12-19,1992-11-14,,,,31.63,31.74,34,193.49,230632.0
DARLINGTON-2,Operational,Canada,PHWR,CANDU 850,Ontario Power Generation,Ontario Power Generation,878,881,934,2776,1981-09-01,1989-11-05,,,1990-01-15,1990-10-09,,,,31.63,31.74,34,184.25,220119.0
DARLINGTON-3,Operational,Canada,PHWR,CANDU 850,Ontario Power Generation,Ontario Power Generation,878,881,934,2776,1984-09-01,1992-11-09,,,1992-12-07,1993-02-14,,,,31.63,31.74,32,186.37,219448.0
